,Cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes
Cancer,1.0,0.4754296380563528,0.5839335049564297,0.28491070787727035,0.43675257308333626,0.3624933110837092,0.38162652995022023,0.3002415338356661,0.4035572845341337
cardiovascular,0.4754296380563528,1.0,0.4377947696987216,0.40206295728849756,0.5100240960664569,0.47084724491978713,0.40444735486111283,0.49982854145731426,0.5099248674938167
stroke,0.5839335049564297,0.4377947696987216,1.0,0.49819447803058414,0.533199205869085,0.4986774539984876,0.6403474189813385,0.3961090612387164,0.6453996330811708
depression,0.28491070787727035,0.40206295728849756,0.49819447803058414,1.0,0.44032633666445375,0.7033524732810454,0.610695541611234,0.5926055128454678,0.7452089392135022
rehab,0.43675257308333626,0.5100240960664569,0.533199205869085,0.44032633666445375,1.0,0.38948494048673515,0.5768382211157104,0.31157817728399007,0.5199779553718769
vaccine,0.3624933110837092,0.47084724491978713,0.4986774539984876,0.7033524732810454,0.38948494048673515,1.0,0.6001449091451606,0.5394218935882283,0.6933115147883334
diarrhea,0.38162652995022023,0.40444735486111283,0.6403474189813385,0.610695541611234,0.5768382211157104,0.6001449091451606,1.0,0.46991735188289907,0.7289509923559065
obesity,0.3002415338356661,0.49982854145731426,0.3961090612387164,0.5926055128454678,0.31157817728399007,0.5394218935882283,0.46991735188289907,1.0,0.6177235543614701
diabetes,0.4035572845341337,0.5099248674938167,0.6453996330811708,0.7452089392135022,0.5199779553718769,0.6933115147883334,0.7289509923559065,0.6177235543614701,1.0
